noise_level,method,mse
0.0,Classical,5.0239373697102425e-31
0.0,QUBO L2-norm,48.95962261052195
0.0,QUBO Robust,42.46956571151425
0.0,Classical,5.0239373697102425e-31
0.0,QUBO L2-norm,44.24872639821729
0.0,QUBO Robust,46.75336393188436
0.0,Classical,5.0239373697102425e-31
0.0,QUBO L2-norm,39.68877420976535
0.0,QUBO Robust,49.43180398058494
0.0,Classical,5.0239373697102425e-31
0.0,QUBO L2-norm,37.84586318944934
0.0,QUBO Robust,41.50492763592729
0.0,Classical,5.0239373697102425e-31
0.0,QUBO L2-norm,55.82828240823415
0.0,QUBO Robust,39.66089562350646
0.0,Classical,5.0239373697102425e-31
0.0,QUBO L2-norm,46.87911000277231
0.0,QUBO Robust,48.66353447848927
0.0,Classical,5.0239373697102425e-31
0.0,QUBO L2-norm,49.72331066662402
0.0,QUBO Robust,50.1217989904922
0.0,Classical,5.0239373697102425e-31
0.0,QUBO L2-norm,58.47187422411112
0.0,QUBO Robust,38.81557009890157
0.0,Classical,5.0239373697102425e-31
0.0,QUBO L2-norm,42.11084823797342
0.0,QUBO Robust,40.00962164567828
0.0,Classical,5.0239373697102425e-31
0.0,QUBO L2-norm,45.799789560984046
0.0,QUBO Robust,40.511679892273946
0.05,Classical,0.002452853723315632
0.05,QUBO L2-norm,49.61260593372544
0.05,QUBO Robust,44.54226418965034
0.05,Classical,0.002502913812523416
0.05,QUBO L2-norm,41.02970555138034
0.05,QUBO Robust,45.123361343212416
0.05,Classical,0.0024027739065525014
0.05,QUBO L2-norm,52.44550004267426
0.05,QUBO Robust,47.3614649690611
0.05,Classical,0.00246112183919877
0.05,QUBO L2-norm,51.248162080093614
0.05,QUBO Robust,37.79017192351514
0.05,Classical,0.0025335623742144407
0.05,QUBO L2-norm,56.18967954959495
0.05,QUBO Robust,36.08431473645166
0.05,Classical,0.0026234643120243433
0.05,QUBO L2-norm,38.96341795576557
0.05,QUBO Robust,44.90174810492365
0.05,Classical,0.0023551363079352015
0.05,QUBO L2-norm,38.55255650635351
0.05,QUBO Robust,40.19077549359504
0.05,Classical,0.0023948503787722727
0.05,QUBO L2-norm,46.46326591510779
0.05,QUBO Robust,42.57369388891702
0.05,Classical,0.002679787384977127
0.05,QUBO L2-norm,35.11703059050577
0.05,QUBO Robust,57.37812953297299
0.05,Classical,0.002571401896835669
0.05,QUBO L2-norm,52.73142325934079
